"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
7.83934162e-09	2.02732250e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.27929049e-15	1.01366125e-01	2.49907118e-03	-3.51083436e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.06403896e+03	2.52361177e-03	3.06403896e+03	9.92200196e-01	1.10198813e-03	0.00000000e+00
0.00000000e+00	2.02732116e-01	1.00000000e+00	1.66666567e-07	1.01002096e-03	-1.41898810e-04	0.00000000e+00	-0.00000000e+00	1.11750618e-01	0.00000000e+00	1.01366058e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.05577639e+03	0.00000000e+00	3.05577639e+03	9.92200077e-01	1.10117078e-03	0.00000000e+00
1.66730665e-08	2.02732310e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.66381999e-14	1.01366155e-01	5.32237953e-03	-7.47621991e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.07759137e+03	5.37463138e-03	3.07759137e+03	9.92200315e-01	1.10290665e-03	0.00000000e+00
2.66100333e-08	2.02732429e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.02592180e-13	1.01366214e-01	8.50558933e-03	-1.19461049e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.08395621e+03	8.58907120e-03	3.08395621e+03	9.92200494e-01	1.10393658e-03	0.00000000e+00
3.77713683e-08	2.02732429e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.22833720e-12	1.01366214e-01	1.20883062e-02	-1.69756729e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.09538061e+03	1.22069195e-02	3.09538061e+03	9.92200613e-01	1.10509724e-03	0.00000000e+00
5.02917388e-08	2.02732459e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.86041372e-12	1.01366229e-01	1.61144827e-02	-2.26261700e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.10993761e+03	1.62725532e-02	3.10993761e+03	9.92200792e-01	1.10639294e-03	0.00000000e+00
6.43209006e-08	2.02732384e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.03280717e-11	1.01366192e-01	2.06330083e-02	-2.89656525e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.12994582e+03	2.08353335e-02	3.12994582e+03	9.92201030e-01	1.10784522e-03	0.00000000e+00
8.00252238e-08	2.02732593e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.47430774e-11	1.01366296e-01	2.56981254e-02	-3.60695482e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.14709826e+03	2.59500245e-02	3.14709826e+03	9.92201269e-01	1.10945245e-03	0.00000000e+00
9.75898118e-08	2.02732489e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.47084635e-11	1.01366244e-01	3.13702598e-02	-4.40217927e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.16529838e+03	3.16776322e-02	3.16529838e+03	9.92201507e-01	1.11125514e-03	0.00000000e+00
1.17220068e-07	2.02732697e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.13832437e-10	1.01366349e-01	3.77161354e-02	-5.29149733e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.18715259e+03	3.80855197e-02	3.18715259e+03	9.92201746e-01	1.11324631e-03	0.00000000e+00
