"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.08609015e-08	2.57672425e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.39735758e-15	1.28836213e-02	5.09095332e-03	6.30495779e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.28005029e+03	5.12984703e-03	6.28005029e+03	8.87440085e-01	-1.49202673e-02	0.00000000e+00
0.00000000e+00	2.57672388e-02	1.00000000e+00	1.66666567e-07	2.07718043e-03	2.57232488e-04	0.00000000e+00	-0.00000000e+00	1.58573210e-01	0.00000000e+00	1.28836194e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.28809459e+03	0.00000000e+00	6.28809459e+03	8.87439966e-01	-1.49194533e-02	0.00000000e+00
2.26625740e-08	2.57672369e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.59189095e-13	1.28836185e-02	1.06245708e-02	1.31580082e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.27864129e+03	1.07057385e-02	6.27864129e+03	8.87440145e-01	-1.49211492e-02	0.00000000e+00
3.54850123e-08	2.57672407e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.56858507e-13	1.28836203e-02	1.66383274e-02	2.06055515e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.28964348e+03	1.67654355e-02	6.28964348e+03	8.87440264e-01	-1.49221057e-02	0.00000000e+00
4.94147905e-08	2.57672556e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.59812093e-12	1.28836278e-02	2.31727995e-02	2.86978064e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.28848724e+03	2.33498239e-02	6.28848724e+03	8.87440443e-01	-1.49231441e-02	0.00000000e+00
6.45455742e-08	2.57672817e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.04730903e-11	1.28836408e-02	3.02718785e-02	3.74890794e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.28989686e+03	3.05031299e-02	6.28989686e+03	8.87440562e-01	-1.49242701e-02	0.00000000e+00
8.09787011e-08	2.57672593e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.59432007e-11	1.28836296e-02	3.79829668e-02	4.70380206e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.29267364e+03	3.82731174e-02	6.29267364e+03	8.87440681e-01	-1.49254985e-02	0.00000000e+00
9.88237900e-08	2.57672500e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.75271185e-11	1.28836250e-02	4.63570803e-02	5.74077573e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.29336141e+03	4.67111914e-02	6.29336141e+03	8.87440860e-01	-1.49268303e-02	0.00000000e+00
1.18199388e-07	2.57672593e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.17681392e-10	1.28836296e-02	5.54488748e-02	6.86659059e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.30242326e+03	5.58724242e-02	6.30242326e+03	8.87441039e-01	-1.49282739e-02	0.00000000e+00
1.39233649e-07	2.57672817e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.26438049e-10	1.28836408e-02	6.53164163e-02	8.08842946e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.30309875e+03	6.58153244e-02	6.30309875e+03	8.87441218e-01	-1.49298385e-02	0.00000000e+00
