"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
7.43003570e-09	9.50652659e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.83926153e-15	4.75326329e-01	9.13051714e-04	-5.16671268e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.89571662e+03	5.24676885e-03	5.89571662e+03	2.38399181e-04	-2.72534834e-03	0.00000000e+00
0.00000000e+00	9.50654805e-01	1.00000000e+00	1.66666567e-07	3.45611275e-04	-1.95252488e-03	0.00000000e+00	-0.00000000e+00	1.66634858e-01	0.00000000e+00	4.75327402e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.95094548e+03	0.00000000e+00	5.95094548e+03	2.39268731e-04	-2.72520026e-03	0.00000000e+00
1.76569070e-08	9.50652540e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.86592542e-14	4.75326270e-01	2.16721068e-03	-1.22464187e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.76605367e+03	1.24367027e-02	5.76605367e+03	2.37185188e-04	-2.72555533e-03	0.00000000e+00
2.05745536e-08	9.50652480e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.65440402e-13	4.75326240e-01	2.52930075e-03	-1.42843509e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.72790794e+03	1.45065517e-02	5.72790794e+03	2.36826556e-04	-2.72561633e-03	0.00000000e+00
3.06981249e-08	9.50652361e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.35944173e-13	4.75326180e-01	3.78566701e-03	-2.13555098e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.59555067e+03	2.16884548e-02	5.59555067e+03	2.35582280e-04	-2.72582844e-03	0.00000000e+00
4.63558152e-08	9.50652301e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.78657587e-12	4.75326151e-01	5.78441797e-03	-3.25604528e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.37957628e+03	3.30702673e-02	5.37957628e+03	2.33541330e-04	-2.72617629e-03	0.00000000e+00
6.42257589e-08	9.50652599e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.02671014e-11	4.75326300e-01	8.16839375e-03	-4.58564833e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.11368094e+03	4.65783181e-02	5.11368094e+03	2.31008293e-04	-2.72660772e-03	0.00000000e+00
8.37272154e-08	9.50653374e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.96478814e-11	4.75326687e-01	1.09274276e-02	-6.11428060e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.79424900e+03	6.21116043e-02	4.79424900e+03	2.27923636e-04	-2.72713345e-03	0.00000000e+00
1.04134713e-07	9.50655341e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.09198048e-11	4.75327671e-01	1.40317688e-02	-7.81959817e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.41944504e+03	7.94449626e-02	4.41944504e+03	2.24221993e-04	-2.72776419e-03	0.00000000e+00
1.24609329e-07	9.50659037e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.45337437e-10	4.75329518e-01	1.74278412e-02	-9.66454819e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.99010207e+03	9.82042709e-02	3.99010207e+03	2.19831520e-04	-2.72851228e-03	0.00000000e+00
1.44240076e-07	9.50665593e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.60759997e-10	4.75332797e-01	2.10353136e-02	-1.15957707e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.51129385e+03	1.17850220e-01	3.51129385e+03	2.14673390e-04	-2.72939121e-03	0.00000000e+00
1.62107881e-07	9.50676382e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.15704998e-10	4.75338191e-01	2.47471146e-02	-1.35438159e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.99365277e+03	1.37680480e-01	2.99365277e+03	2.08661164e-04	-2.73041590e-03	0.00000000e+00
1.77382162e-07	9.50692952e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.95476224e-10	4.75346476e-01	2.84342710e-02	-1.54262736e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.45424728e+03	1.56861403e-01	2.45424728e+03	2.01700139e-04	-2.73160194e-03	0.00000000e+00
1.89453587e-07	9.50716913e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.74317443e-10	4.75358456e-01	3.19573432e-02	-1.71548203e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.91660422e+03	1.74499449e-01	1.91660422e+03	1.93686516e-04	-2.73296749e-03	0.00000000e+00
1.98092422e-07	9.50749815e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.24967436e-10	4.75374907e-01	3.51853482e-02	-1.86465710e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.40909774e+03	1.89756343e-01	1.40909774e+03	1.84506847e-04	-2.73453165e-03	0.00000000e+00
2.03598901e-07	9.50792909e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.03177145e-09	4.75396454e-01	3.80205438e-02	-1.98387742e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.61249801e+02	2.01998163e-01	9.61249801e+02	1.74037006e-04	-2.73631583e-03	0.00000000e+00
