"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.80943989e-08	-1.22850381e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.46926157e-14	-6.14251904e-02	1.24513144e-02	7.37470947e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.75009071e+04	1.44714052e-02	1.75009071e+04	1.72498263e-02	2.19272971e-02	0.00000000e+00
0.00000000e+00	-1.22850195e-01	1.00000000e+00	1.66666567e-07	5.02620079e-03	2.97655701e-03	0.00000000e+00	-0.00000000e+00	2.67772675e-01	0.00000000e+00	-6.14250973e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.75255921e+04	0.00000000e+00	1.75255921e+04	1.72502417e-02	2.19265837e-02	0.00000000e+00
3.85414509e-08	-1.22850455e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.33160887e-12	-6.14252277e-02	2.65054889e-02	1.56985894e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.74555477e+04	3.08056269e-02	1.74555477e+04	1.72493570e-02	2.19281036e-02	0.00000000e+00
6.15571381e-08	-1.22850589e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.66426982e-12	-6.14252947e-02	4.23185453e-02	2.50640009e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.74118291e+04	4.91839752e-02	1.74118291e+04	1.72488261e-02	2.19290163e-02	0.00000000e+00
8.73729462e-08	-1.22850746e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.51570648e-11	-6.14253730e-02	6.00576326e-02	3.55698802e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.73487298e+04	6.98006849e-02	1.73487298e+04	1.72482301e-02	2.19300389e-02	0.00000000e+00
9.42383025e-08	-1.22850783e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.29729940e-11	-6.14253916e-02	6.47775531e-02	3.83651666e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.73302025e+04	7.52862364e-02	1.73302025e+04	1.72480699e-02	2.19303146e-02	0.00000000e+00
1.16234148e-07	-1.22850887e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.10053300e-10	-6.14254437e-02	7.98996687e-02	4.73209545e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.72708428e+04	9.28613471e-02	1.72708428e+04	1.72475595e-02	2.19311919e-02	0.00000000e+00
1.48396609e-07	-1.22851036e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.92091962e-10	-6.14255182e-02	1.02027588e-01	6.04254752e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.71868550e+04	1.18578525e-01	1.71868550e+04	1.72468089e-02	2.19324809e-02	0.00000000e+00
1.84121376e-07	-1.22851051e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.90976665e-10	-6.14255257e-02	1.26622066e-01	7.49903619e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.70664917e+04	1.47162162e-01	1.70664917e+04	1.72459707e-02	2.19339225e-02	0.00000000e+00
2.23666191e-07	-1.22850850e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.50023027e-09	-6.14254251e-02	1.53845206e-01	9.11114961e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.68926669e+04	1.78800593e-01	1.68926669e+04	1.72450338e-02	2.19355300e-02	0.00000000e+00
2.67272156e-07	-1.22850239e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.04451953e-09	-6.14251196e-02	1.83811024e-01	1.08856231e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.66334932e+04	2.13626243e-01	1.66334932e+04	1.72439907e-02	2.19373237e-02	0.00000000e+00
