"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
9.61624647e-09	1.14808597e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.16061769e-15	5.74042983e-02	3.94080067e-03	-5.29569632e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.85104884e+03	3.97622358e-03	4.85104884e+03	9.56080079e-01	6.06490020e-03	0.00000000e+00
0.00000000e+00	1.14808559e-01	1.00000000e+00	1.66666567e-07	1.60302757e-03	-2.15408159e-04	0.00000000e+00	-0.00000000e+00	1.39820933e-01	0.00000000e+00	5.74042797e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.84444009e+03	0.00000000e+00	4.84444009e+03	9.56079960e-01	6.06408669e-03	0.00000000e+00
2.01890664e-08	1.14808604e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.00263405e-13	5.74043021e-02	8.27673543e-03	-1.11220987e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.86356260e+03	8.35112928e-03	4.86356260e+03	9.56080198e-01	6.06579287e-03	0.00000000e+00
3.18084261e-08	1.14808634e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.17788535e-13	5.74043170e-02	1.30447280e-02	-1.75288017e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.86214481e+03	1.31619724e-02	4.86214481e+03	9.56080317e-01	6.06677169e-03	0.00000000e+00
4.45724275e-08	1.14808582e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.38188917e-12	5.74042909e-02	1.82850659e-02	-2.45698378e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.87098721e+03	1.84494012e-02	4.87098721e+03	9.56080496e-01	6.06785342e-03	0.00000000e+00
5.85880144e-08	1.14808671e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.10987562e-12	5.74043356e-02	2.40416639e-02	-3.23041156e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.88191608e+03	2.42577237e-02	4.88191608e+03	9.56080616e-01	6.06902922e-03	0.00000000e+00
7.39717763e-08	1.14808671e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.80649887e-11	5.74043356e-02	3.03623918e-02	-4.07958264e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.88394155e+03	3.06352384e-02	4.88394155e+03	9.56080794e-01	6.07032515e-03	0.00000000e+00
9.08507545e-08	1.14808708e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.10957830e-11	5.74043542e-02	3.72992791e-02	-5.01147239e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.88631392e+03	3.76344401e-02	4.88631392e+03	9.56081033e-01	6.07174356e-03	0.00000000e+00
1.09363391e-07	1.14808671e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.62630453e-11	5.74043356e-02	4.49087471e-02	-6.03364315e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.88893284e+03	4.53122546e-02	4.88893284e+03	9.56081212e-01	6.07330212e-03	0.00000000e+00
1.29660478e-07	1.14808671e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.70348818e-10	5.74043356e-02	5.32515757e-02	-7.15423934e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.90272178e+03	5.37300051e-02	4.90272178e+03	9.56081450e-01	6.07500598e-03	0.00000000e+00
