"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
4.22677005e-09	7.82930851e-01	1.00000000e+00	1.66666567e-07	9.47375433e-04	-2.39335233e-03	0.00000000e+00	0.00000000e+00	1.51008770e-01	5.44251830e-15	3.91465425e-01	1.18814141e-03	-3.00475792e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.14656213e+04	3.23113760e-03	1.14656213e+04	1.15893176e-03	-5.95040340e-03	0.00000000e+00
0.00000000e+00	7.82931268e-01	1.00000000e+00	1.66666567e-07	1.41046871e-03	-3.56326252e-03	0.00000000e+00	-0.00000000e+00	2.24824339e-01	0.00000000e+00	3.91465634e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.14941649e+04	0.00000000e+00	1.14941649e+04	1.15919404e-03	-5.95030235e-03	0.00000000e+00
1.28737154e-08	7.82930017e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.65765686e-14	3.91465008e-01	3.61878751e-03	-9.15176328e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.14072274e+04	9.84125979e-03	1.14072274e+04	1.15839520e-03	-5.95061015e-03	0.00000000e+00
2.91236422e-08	7.82930374e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.34165941e-13	3.91465187e-01	8.17498006e-03	-2.06695255e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.12097540e+04	2.22274511e-02	1.12097540e+04	1.15737459e-03	-5.95100317e-03	0.00000000e+00
4.87962168e-08	7.82930851e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.42132117e-12	3.91465425e-01	1.37368878e-02	-3.47234532e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.09640975e+04	3.73419374e-02	1.09640975e+04	1.15610403e-03	-5.95149305e-03	0.00000000e+00
7.17635942e-08	7.82931685e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.60029316e-11	3.91465843e-01	2.03611664e-02	-5.14526069e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.06647186e+04	5.53348702e-02	1.06647186e+04	1.15455396e-03	-5.95209002e-03	0.00000000e+00
9.77114354e-08	7.82933235e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.49815402e-11	3.91466618e-01	2.80861612e-02	-7.09484816e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.03046825e+04	7.63054355e-02	1.03046825e+04	1.15269038e-03	-5.95280807e-03	0.00000000e+00
1.26139582e-07	7.82935798e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.52601792e-10	3.91467899e-01	3.69236954e-02	-9.32336897e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.87670397e+03	1.00279012e-01	9.87670397e+03	1.15047721e-03	-5.95366117e-03	0.00000000e+00
1.56373929e-07	7.82940269e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.60028035e-10	3.91470134e-01	4.68488261e-02	-1.18235812e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.37368295e+03	1.27179085e-01	9.37368295e+03	1.14787382e-03	-5.95466420e-03	0.00000000e+00
1.87581350e-07	7.82947898e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.44238671e-10	3.91473949e-01	5.77882081e-02	-1.45757526e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.79019615e+03	1.56795196e-01	8.79019615e+03	1.14483642e-03	-5.95583441e-03	0.00000000e+00
