"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.76085067e-08	-3.90197992e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.80187211e-14	-1.95098996e-01	1.32105825e-02	3.02564423e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.65449157e+04	1.35526386e-02	1.65449157e+04	7.11579099e-02	4.09133919e-02	0.00000000e+00
0.00000000e+00	-3.90198082e-01	1.00000000e+00	1.66666567e-07	5.38040325e-03	1.23221963e-03	0.00000000e+00	-0.00000000e+00	2.57977158e-01	0.00000000e+00	-1.95099041e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.65536182e+04	0.00000000e+00	1.65536182e+04	7.11580887e-02	4.09125909e-02	0.00000000e+00
3.68713735e-08	-3.90197992e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.11538177e-12	-1.95098996e-01	2.76618861e-02	6.33546570e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.65496729e+04	2.83781265e-02	1.65496729e+04	7.11577162e-02	4.09142673e-02	0.00000000e+00
5.79325246e-08	-3.90197963e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.79701694e-12	-1.95098981e-01	4.34630029e-02	9.95444972e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.65599709e+04	4.45883807e-02	1.65599709e+04	7.11575001e-02	4.09152210e-02	0.00000000e+00
8.09477214e-08	-3.90197963e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.59035345e-11	-1.95098981e-01	6.07315563e-02	1.39095401e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.65456405e+04	6.23040708e-02	1.65456405e+04	7.11572617e-02	4.09162641e-02	0.00000000e+00
1.06085182e-07	-3.90197963e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.63810334e-11	-1.95098981e-01	7.95933679e-02	1.82295628e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.65431030e+04	8.16542783e-02	1.65431030e+04	7.11570084e-02	4.09174040e-02	0.00000000e+00
1.33526143e-07	-3.90197933e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.91567220e-10	-1.95098966e-01	1.00181177e-01	2.29449328e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.65294973e+04	1.02775183e-01	1.65294973e+04	7.11567253e-02	4.09186520e-02	0.00000000e+00
1.63465430e-07	-3.90197933e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.29773633e-10	-1.95098966e-01	1.22631580e-01	2.80869342e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.64844905e+04	1.25806916e-01	1.64844905e+04	7.11564198e-02	4.09200117e-02	0.00000000e+00
1.96111856e-07	-3.90197903e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.88633112e-10	-1.95098951e-01	1.47078738e-01	3.36863287e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.64370236e+04	1.50887123e-01	1.64370236e+04	7.11560845e-02	4.09215018e-02	0.00000000e+00
2.31688816e-07	-3.90197873e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.72604497e-09	-1.95098937e-01	1.73643261e-01	3.97707447e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.63531404e+04	1.78139536e-01	1.63531404e+04	7.11557195e-02	4.09231186e-02	0.00000000e+00
2.70434839e-07	-3.90197784e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.18989901e-09	-1.95098892e-01	2.02413097e-01	4.63603586e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.61967441e+04	2.07654388e-01	1.61967441e+04	7.11553246e-02	4.09248844e-02	0.00000000e+00
3.12604982e-07	-3.90197575e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.65886360e-09	-1.95098788e-01	2.33413592e-01	5.34610078e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.59415908e+04	2.39457688e-01	1.59415908e+04	7.11548924e-02	4.09268141e-02	0.00000000e+00
3.58472619e-07	-3.90197247e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.69604841e-09	-1.95098624e-01	2.66564578e-01	6.10543676e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.55568156e+04	2.73467201e-01	1.55568156e+04	7.11544156e-02	4.09289151e-02	0.00000000e+00
4.08332454e-07	-3.90196741e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.61156315e-08	-1.95098370e-01	3.01625967e-01	6.90855235e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.49885217e+04	3.09436639e-01	1.49885217e+04	7.11539015e-02	4.09312062e-02	0.00000000e+00
4.62501760e-07	-3.90195906e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.60583874e-08	-1.95097953e-01	3.38143796e-01	7.74505511e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.41971183e+04	3.46900295e-01	1.41971183e+04	7.11533427e-02	4.09337021e-02	0.00000000e+00
5.21316338e-07	-3.90194684e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.10632772e-08	-1.95097342e-01	3.75421584e-01	8.59899968e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.31562359e+04	3.85143668e-01	1.31562359e+04	7.11527318e-02	4.09364142e-02	0.00000000e+00
5.85113298e-07	-3.90192926e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.31066968e-08	-1.95096463e-01	4.12554115e-01	9.44965780e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.18759160e+04	4.23238114e-01	1.18759160e+04	7.11520687e-02	4.09393720e-02	0.00000000e+00
6.54199823e-07	-3.90190423e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.45622034e-08	-1.95095211e-01	4.48547959e-01	1.02742821e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.04473257e+04	4.60164491e-01	1.04473257e+04	7.11513385e-02	4.09425944e-02	0.00000000e+00
7.28819771e-07	-3.90187114e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.38029847e-07	-1.95093557e-01	4.82507706e-01	1.10523641e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-8.96580324e+03	4.95004203e-01	8.96580324e+03	7.11505562e-02	4.09460925e-02	0.00000000e+00
8.09144126e-07	-3.90182734e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.96021773e-07	-1.95091367e-01	5.13810933e-01	1.17696457e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.53725506e+03	5.27118706e-01	7.53725506e+03	7.11496994e-02	4.09499034e-02	0.00000000e+00
8.95294306e-07	-3.90177220e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.70563817e-07	-1.95088610e-01	5.42189300e-01	1.24199770e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.25804782e+03	5.56232703e-01	6.25804782e+03	7.11487606e-02	4.09540534e-02	0.00000000e+00
9.87379963e-07	-3.90170306e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.62828104e-07	-1.95085153e-01	5.67693949e-01	1.30045339e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-5.17212898e+03	5.82398669e-01	5.17212898e+03	7.11477473e-02	4.09585573e-02	0.00000000e+00
1.08552399e-06	-3.90161902e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.72913740e-07	-1.95080951e-01	5.90591431e-01	1.35294199e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-4.28107013e+03	6.05890055e-01	4.28107013e+03	7.11466447e-02	4.09634560e-02	0.00000000e+00
1.18986668e-06	-3.90151888e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.99847283e-07	-1.95075944e-01	6.11251831e-01	1.40031174e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.56907236e+03	6.27086542e-01	3.56907236e+03	7.11454526e-02	4.09687869e-02	0.00000000e+00
1.20399113e-06	-3.90150368e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.17961348e-07	-1.95075184e-01	6.13652587e-01	1.40581742e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.49742543e+03	6.29549620e-01	3.49742543e+03	7.11452812e-02	4.09695245e-02	0.00000000e+00
1.30055423e-06	-3.90140057e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.41799283e-07	-1.95070028e-01	6.30065560e-01	1.44345731e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-3.00760566e+03	6.46388660e-01	3.00760566e+03	7.11441487e-02	4.09745723e-02	0.00000000e+00
1.41771966e-06	-3.90126288e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.96439985e-07	-1.95063144e-01	6.47395611e-01	1.48321122e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-2.56523605e+03	6.64168828e-01	2.56523605e+03	7.11427331e-02	4.09808643e-02	0.00000000e+00
1.54146255e-06	-3.90110463e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.06132177e-06	-1.95055231e-01	6.63557231e-01	1.52029663e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-2.21522361e+03	6.80750481e-01	2.21522361e+03	7.11411983e-02	4.09876928e-02	0.00000000e+00
1.67183248e-06	-3.90092313e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.23418636e-06	-1.95046157e-01	6.78813696e-01	1.55531719e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.93571616e+03	6.96403726e-01	1.93571616e+03	7.11395293e-02	4.09951136e-02	0.00000000e+00
1.80881239e-06	-3.90071660e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.41314752e-06	-1.95035830e-01	6.93380058e-01	1.58876702e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.71082048e+03	7.11349219e-01	1.71082048e+03	7.11377114e-02	4.10031676e-02	0.00000000e+00
1.95230723e-06	-3.90048236e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.59674767e-06	-1.95024118e-01	7.07430303e-01	1.62104577e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.52700427e+03	7.25765477e-01	1.52700427e+03	7.11357445e-02	4.10119146e-02	0.00000000e+00
