"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.66947611e-08	3.27330619e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.68812509e-14	1.63665310e-01	8.68417881e-03	9.96995997e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.57378693e+04	1.32217648e-02	1.57378693e+04	5.23079466e-03	1.24267144e-02	0.00000000e+00
0.00000000e+00	3.27331245e-01	1.00000000e+00	1.66666567e-07	3.46114580e-03	3.97230033e-03	0.00000000e+00	-0.00000000e+00	2.57606983e-01	0.00000000e+00	1.63665622e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.58086899e+04	0.00000000e+00	1.58086899e+04	5.23142051e-03	1.24261593e-02	0.00000000e+00
3.63693289e-08	3.27330142e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.05586416e-12	1.63665071e-01	1.88836213e-02	2.16789693e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.55882428e+04	2.87501107e-02	1.55882428e+04	5.23005333e-03	1.24273729e-02	0.00000000e+00
5.92216978e-08	3.27329636e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.42246976e-12	1.63664818e-01	3.07329278e-02	3.52813676e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.54160500e+04	4.67898253e-02	1.54160500e+04	5.22918347e-03	1.24281440e-02	0.00000000e+00
8.54215898e-08	3.27329069e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.21208303e-11	1.63664535e-01	4.43671830e-02	5.09319901e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.52116368e+04	6.75463881e-02	1.52116368e+04	5.22817019e-03	1.24290437e-02	0.00000000e+00
1.15092689e-07	3.27328593e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.05796448e-10	1.63664296e-01	5.99174760e-02	6.87810183e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.49691397e+04	9.12191450e-02	1.49691397e+04	5.22699766e-03	1.24300849e-02	0.00000000e+00
1.48286446e-07	3.27328354e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.91226987e-10	1.63664177e-01	7.75035545e-02	8.89654979e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.46836864e+04	1.17990088e-01	1.46836864e+04	5.22564771e-03	1.24312826e-02	0.00000000e+00
1.84948746e-07	3.27328682e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.03444802e-10	1.63664341e-01	9.72217396e-02	1.11595452e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.43407754e+04	1.48005444e-01	1.43407754e+04	5.22410218e-03	1.24326544e-02	0.00000000e+00
2.24883934e-07	3.27330142e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.53300106e-09	1.63665071e-01	1.19126007e-01	1.36732057e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.39210145e+04	1.81346797e-01	1.39210145e+04	5.22233965e-03	1.24342181e-02	0.00000000e+00
2.67724971e-07	3.27333719e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.06502823e-09	1.63666859e-01	1.43201083e-01	1.64356753e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.34054597e+04	2.17990120e-01	1.34054597e+04	5.22033684e-03	1.24359960e-02	0.00000000e+00
3.12919298e-07	3.27340573e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.68134872e-09	1.63670287e-01	1.69329479e-01	1.94333330e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	-1.27713057e+04	2.57755535e-01	1.27713057e+04	5.21806907e-03	1.24380086e-02	0.00000000e+00
