"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.20312462e-08	-7.90299773e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.26450770e-14	-3.95149887e-02	6.28799573e-03	6.57940574e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.74667934e+03	6.32232363e-03	7.74667934e+03	7.47260094e-01	-3.09172366e-02	0.00000000e+00
0.00000000e+00	-7.90300071e-02	1.00000000e+00	1.66666567e-07	2.56944308e-03	2.68821983e-04	0.00000000e+00	-0.00000000e+00	1.75909862e-01	0.00000000e+00	-3.95150036e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.74724567e+03	0.00000000e+00	7.74724567e+03	7.47260034e-01	-3.09164282e-02	0.00000000e+00
2.50281342e-08	-7.90299922e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.36804147e-13	-3.95149961e-02	1.30817350e-02	1.36879191e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.74298770e+03	1.31531510e-02	7.74298770e+03	7.47260213e-01	-3.09181157e-02	0.00000000e+00
3.90676611e-08	-7.90299997e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.40583237e-12	-3.95149998e-02	2.04214659e-02	2.13676505e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.75387593e+03	2.05329499e-02	7.75387593e+03	7.47260273e-01	-3.09190657e-02	0.00000000e+00
5.42327960e-08	-7.90299699e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.22018323e-12	-3.95149849e-02	2.83505656e-02	2.96639674e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.76152058e+03	2.85053342e-02	7.76152058e+03	7.47260392e-01	-3.09200827e-02	0.00000000e+00
7.06129484e-08	-7.90299699e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.50011514e-11	-3.95149849e-02	3.69157121e-02	3.86256818e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.75976762e+03	3.71172363e-02	7.75976762e+03	7.47260511e-01	-3.09211873e-02	0.00000000e+00
8.83044251e-08	-7.90299624e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.66799646e-11	-3.95149812e-02	4.61669900e-02	4.83051827e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.75900922e+03	4.64190141e-02	7.75900922e+03	7.47260630e-01	-3.09223793e-02	0.00000000e+00
1.07410969e-07	-7.90299922e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.02692843e-11	-3.95149961e-02	5.61579019e-02	5.87584125e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.76222574e+03	5.64644619e-02	7.76222574e+03	7.47260749e-01	-3.09236702e-02	0.00000000e+00
1.28044277e-07	-7.90299699e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.62020605e-10	-3.95149849e-02	6.69451803e-02	7.00447010e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.75620059e+03	6.73106215e-02	7.75620059e+03	7.47260928e-01	-3.09250597e-02	0.00000000e+00
1.50324553e-07	-7.90299773e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.07545794e-10	-3.95149887e-02	7.85882920e-02	8.22262187e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.74507305e+03	7.90172839e-02	7.74507305e+03	7.47261047e-01	-3.09265628e-02	0.00000000e+00
