"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.52183617e-08	-3.52987677e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.23705533e-14	-1.76493838e-01	1.01304157e-02	-1.56451599e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24245996e+04	1.01316237e-02	1.24245996e+04	2.65590012e-01	-5.92484139e-02	0.00000000e+00
0.00000000e+00	-3.52987707e-01	1.00000000e+00	1.66666567e-07	4.13961476e-03	-6.39776408e-05	0.00000000e+00	-0.00000000e+00	2.22683549e-01	0.00000000e+00	-1.76493853e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24182540e+04	0.00000000e+00	1.24182540e+04	2.65590012e-01	-5.92475981e-02	0.00000000e+00
3.16565973e-08	-3.52987677e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.06077525e-13	-1.76493838e-01	2.10738126e-02	-3.25469708e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24327214e+04	2.10763258e-02	1.24327214e+04	2.65589982e-01	-5.92492931e-02	0.00000000e+00
4.94112271e-08	-3.52987677e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.59708248e-12	-1.76493838e-01	3.28945965e-02	-5.08049619e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24247948e+04	3.28985196e-02	1.24247948e+04	2.65589982e-01	-5.92502430e-02	0.00000000e+00
6.85861536e-08	-3.52987677e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.33518257e-11	-1.76493838e-01	4.56620082e-02	-7.05263286e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24185260e+04	4.56674544e-02	1.24185260e+04	2.65589952e-01	-5.92512712e-02	0.00000000e+00
8.92931951e-08	-3.52987647e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.83500974e-11	-1.76493824e-01	5.94501421e-02	-9.18259961e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24217355e+04	5.94572333e-02	1.24217355e+04	2.65589923e-01	-5.92523813e-02	0.00000000e+00
1.11652653e-07	-3.52987647e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.37110944e-11	-1.76493824e-01	7.43377358e-02	-1.14825845e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24258577e+04	7.43466035e-02	1.24258577e+04	2.65589923e-01	-5.92535809e-02	0.00000000e+00
1.35793798e-07	-3.52987647e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.04900735e-10	-1.76493824e-01	9.04074535e-02	-1.39654090e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.24171338e+04	9.04182391e-02	1.24171338e+04	2.65589893e-01	-5.92548735e-02	0.00000000e+00
1.61855539e-07	-3.52987647e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.13123535e-10	-1.76493824e-01	1.07744344e-01	-1.66442886e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.23990429e+04	1.07757199e-01	1.23990429e+04	2.65589863e-01	-5.92562705e-02	0.00000000e+00
1.89987006e-07	-3.52987647e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.83035470e-10	-1.76493824e-01	1.26432925e-01	-1.95323210e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.23727671e+04	1.26448012e-01	1.23727671e+04	2.65589833e-01	-5.92577793e-02	0.00000000e+00
2.20348298e-07	-3.52987647e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.41358902e-09	-1.76493824e-01	1.46552384e-01	-2.26418348e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.23261511e+04	1.46569873e-01	1.23261511e+04	2.65589803e-01	-5.92594072e-02	0.00000000e+00
2.53111438e-07	-3.52987617e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.45299825e-09	-1.76493809e-01	1.68168455e-01	-2.59830919e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.22433309e+04	1.68188527e-01	1.22433309e+04	2.65589774e-01	-5.92611656e-02	0.00000000e+00
2.88461820e-07	-3.52987587e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.11895451e-09	-1.76493794e-01	1.91321343e-01	-2.95624207e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.21202826e+04	1.91344181e-01	1.21202826e+04	2.65589744e-01	-5.92630655e-02	0.00000000e+00
3.26600173e-07	-3.52987558e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.72525635e-09	-1.76493779e-01	2.16007933e-01	-3.33794975e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.19415316e+04	2.16033722e-01	1.19415316e+04	2.65589714e-01	-5.92651144e-02	0.00000000e+00
3.67745258e-07	-3.52987558e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.07158069e-08	-1.76493779e-01	2.42158398e-01	-3.74237099e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.16642227e+04	2.42187314e-01	1.16642227e+04	2.65589684e-01	-5.92673235e-02	0.00000000e+00
4.12138291e-07	-3.52987468e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.67062968e-08	-1.76493734e-01	2.69608349e-01	-4.16698586e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.12784305e+04	2.69640549e-01	1.12784305e+04	2.65589625e-01	-5.92697114e-02	0.00000000e+00
4.60046920e-07	-3.52987319e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.55323176e-08	-1.76493660e-01	2.98072070e-01	-4.60739713e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.07564107e+04	2.98107677e-01	1.07564107e+04	2.65589595e-01	-5.92722856e-02	0.00000000e+00
5.11768917e-07	-3.52987140e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.82995005e-08	-1.76493570e-01	3.27127516e-01	-5.05711418e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.00797243e+04	3.27166603e-01	1.00797243e+04	2.65589535e-01	-5.92750646e-02	0.00000000e+00
5.67631787e-07	-3.52986902e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.64255416e-08	-1.76493451e-01	3.56227309e-01	-5.50768850e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.26070679e+03	3.56269884e-01	9.26070679e+03	2.65589476e-01	-5.92780635e-02	0.00000000e+00
6.27986253e-07	-3.52986544e-01	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.16555144e-08	-1.76493272e-01	3.84748399e-01	-5.94951259e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.32363094e+03	3.84794396e-01	8.32363094e+03	2.65589416e-01	-5.92812970e-02	0.00000000e+00
