"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.09704450e-08	1.67926475e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.74130124e-15	8.39632377e-03	5.19818626e-03	-6.36776269e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.40403644e+03	5.23704348e-03	6.40403644e+03	8.78110051e-01	1.60694551e-02	0.00000000e+00
0.00000000e+00	1.67926438e-02	1.00000000e+00	1.66666567e-07	2.12134398e-03	-2.59844470e-04	0.00000000e+00	-0.00000000e+00	1.60205960e-01	0.00000000e+00	8.39632191e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.40156554e+03	0.00000000e+00	6.40156554e+03	8.78109932e-01	1.60686411e-02	0.00000000e+00
2.28821424e-08	1.67926401e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.65448574e-13	8.39632004e-03	1.08439699e-02	-1.32837077e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.41734703e+03	1.09250287e-02	6.41734703e+03	8.78110170e-01	1.60703361e-02	0.00000000e+00
3.58145194e-08	1.67926420e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.92896412e-13	8.39632098e-03	1.69749632e-02	-2.07939046e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.41891142e+03	1.71018491e-02	6.41891142e+03	8.78110290e-01	1.60712916e-02	0.00000000e+00
4.98534831e-08	1.67926550e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.72759766e-12	8.39632750e-03	2.36318689e-02	-2.89481739e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.41792332e+03	2.38085110e-02	6.41792332e+03	8.78110409e-01	1.60723273e-02	0.00000000e+00
6.50919389e-08	1.67926792e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.08321841e-11	8.39633960e-03	3.08586955e-02	-3.78003810e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.42498516e+03	3.10893515e-02	6.42498516e+03	8.78110528e-01	1.60734504e-02	0.00000000e+00
8.16303540e-08	1.67926569e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.67882053e-11	8.39632843e-03	3.87029275e-02	-4.74086544e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.42913937e+03	3.89922095e-02	6.42913937e+03	8.78110707e-01	1.60746761e-02	0.00000000e+00
9.95773277e-08	1.67927034e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.93010918e-11	8.39635171e-03	4.72156368e-02	-5.78354998e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.43209152e+03	4.75685380e-02	6.43209152e+03	8.78110826e-01	1.60759948e-02	0.00000000e+00
1.19050277e-07	1.67927090e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.21104168e-10	8.39635450e-03	5.64514883e-02	-6.91478048e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.43375785e+03	5.68734096e-02	6.43375785e+03	8.78111005e-01	1.60774309e-02	0.00000000e+00
1.40176041e-07	1.67927276e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.32623379e-10	8.39636382e-03	6.64684772e-02	-8.14165454e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.42508918e+03	6.69652522e-02	6.42508918e+03	8.78111243e-01	1.60789862e-02	0.00000000e+00
