"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.16396928e-08	-4.19843420e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.10775875e-14	-2.09921710e-02	5.87483728e-03	-6.59782032e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.24075871e+03	5.91177008e-03	7.24075871e+03	8.04390192e-01	2.47203689e-02	0.00000000e+00
0.00000000e+00	-4.19843793e-02	1.00000000e+00	1.66666567e-07	2.39973725e-03	-2.69480748e-04	0.00000000e+00	-0.00000000e+00	1.70133591e-01	0.00000000e+00	-2.09921896e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.25474182e+03	0.00000000e+00	7.25474182e+03	8.04390073e-01	2.47195605e-02	0.00000000e+00
2.42316549e-08	-4.19843532e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.08069280e-13	-2.09921766e-02	1.22315008e-02	-1.37366785e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.24134438e+03	1.23083945e-02	7.24134438e+03	8.04390252e-01	2.47212481e-02	0.00000000e+00
3.78530984e-08	-4.19843569e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.23899925e-12	-2.09921785e-02	1.91089604e-02	-2.14603334e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.26125456e+03	1.92290880e-02	7.26125456e+03	8.04390371e-01	2.47221980e-02	0.00000000e+00
5.25873283e-08	-4.19843197e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.61493690e-12	-2.09921598e-02	2.65492611e-02	-2.98159802e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.24566498e+03	2.67161597e-02	7.24566498e+03	8.04390490e-01	2.47232188e-02	0.00000000e+00
6.85241943e-08	-4.19843532e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.33036525e-11	-2.09921766e-02	3.45977247e-02	-3.88544891e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.24481466e+03	3.48152160e-02	7.24481466e+03	8.04390609e-01	2.47243345e-02	0.00000000e+00
8.57606040e-08	-4.19843383e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.26336354e-11	-2.09921692e-02	4.33030576e-02	-4.86305356e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.26778222e+03	4.35752692e-02	7.26778222e+03	8.04390728e-01	2.47255322e-02	0.00000000e+00
1.04401046e-07	-4.19843122e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.16474380e-11	-2.09921561e-02	5.27174287e-02	-5.92026627e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.25675649e+03	5.30488156e-02	7.25675649e+03	8.04390907e-01	2.47268267e-02	0.00000000e+00
1.24558170e-07	-4.19843234e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.45098225e-10	-2.09921617e-02	6.28963336e-02	-7.06331525e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.24732669e+03	6.32916994e-02	7.24732669e+03	8.04391026e-01	2.47282311e-02	0.00000000e+00
1.46353344e-07	-4.19843234e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.76356216e-10	-2.09921617e-02	7.38981962e-02	-8.29875842e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.25277007e+03	7.43627111e-02	7.25277007e+03	8.04391205e-01	2.47297492e-02	0.00000000e+00
1.69917328e-07	-4.19843122e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.01586939e-10	-2.09921561e-02	8.57835412e-02	-9.63338651e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.25010667e+03	8.63227553e-02	7.25010667e+03	8.04391384e-01	2.47313883e-02	0.00000000e+00
1.95390939e-07	-4.19842862e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.75681860e-10	-2.09921431e-02	9.86134037e-02	-1.10740447e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.23060458e+03	9.92332498e-02	7.23060458e+03	8.04391623e-01	2.47331578e-02	0.00000000e+00
2.22925834e-07	-4.19842973e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.48056389e-09	-2.09921487e-02	1.12446606e-01	-1.26273325e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.20284454e+03	1.13153386e-01	7.20284454e+03	8.04391801e-01	2.47350764e-02	0.00000000e+00
2.52685538e-07	-4.19842862e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.43664822e-09	-2.09921431e-02	1.27335370e-01	-1.42991059e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.17024830e+03	1.28135712e-01	7.17024830e+03	8.04392040e-01	2.47371458e-02	0.00000000e+00
2.84846664e-07	-4.19842601e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.91839539e-09	-2.09921300e-02	1.43318638e-01	-1.60937291e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.11488988e+03	1.44219417e-01	7.11488988e+03	8.04392338e-01	2.47393809e-02	0.00000000e+00
3.19600559e-07	-4.19842154e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.17499518e-09	-2.09921077e-02	1.60412192e-01	-1.80129595e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-7.02092785e+03	1.61420377e-01	7.02092785e+03	8.04392576e-01	2.47417931e-02	0.00000000e+00
3.57156154e-07	-4.19841930e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.55723589e-09	-2.09920965e-02	1.78595185e-01	-2.00544465e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.88161996e+03	1.79717615e-01	6.88161996e+03	8.04392874e-01	2.47444063e-02	0.00000000e+00
3.97742923e-07	-4.19841819e-02	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.45513344e-08	-2.09920909e-02	1.97793439e-01	-2.22098399e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	-6.69480391e+03	1.99036483e-01	6.69480391e+03	8.04393172e-01	2.47472320e-02	0.00000000e+00
