"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.015124,0,0,0,0,0.030248,1,1.6667e-07,0.0020549,0.00025582,0,-0,0.15774,0,0.89191,-0.014364,0
0.012882,0,0,0,0,0.025764,1,1.6667e-07,0.0020772,0.00025723,0,-0,0.15857,0,0.88744,-0.01492,0
0.010639,0,0,0,0,0.021277,1,1.6667e-07,0.0020993,0.00025858,0,-0,0.15939,0,0.88284,-0.015488,0
0.0083941,0,0,0,0,0.016788,1,1.6667e-07,0.0021214,0.00025985,0,-0,0.16021,0,0.87811,-0.016069,0
0.0061481,0,0,0,0,0.012296,1,1.6667e-07,0.0021433,0.00026104,0,-0,0.16101,0,0.87325,-0.016662,0
0.0039007,0,0,0,0,0.0078014,1,1.6667e-07,0.0021651,0.00026216,0,-0,0.16181,0,0.86827,-0.017268,0
0.0016516,0,0,0,0,0.0033032,1,1.6667e-07,0.0021868,0.00026321,0,-0,0.16259,0,0.86315,-0.017886,0
-0.00059933,0,0,0,0,-0.0011987,1,1.6667e-07,0.0022084,0.00026418,0,-0,0.16337,0,0.85789,-0.018516,0
-0.0028524,0,0,0,0,-0.0057048,1,1.6667e-07,0.0022299,0.00026507,0,-0,0.16415,0,0.8525,-0.019159,0
-0.0051078,0,0,0,0,-0.010216,1,1.6667e-07,0.0022513,0.00026589,0,-0,0.16492,0,0.84698,-0.019813,0
-0.0073659,0,0,0,0,-0.014732,1,1.6667e-07,0.0022727,0.00026663,0,-0,0.16568,0,0.84132,-0.02048,0
-0.0096271,0,0,0,0,-0.019254,1,1.6667e-07,0.0022939,0.0002673,0,-0,0.16643,0,0.83551,-0.021159,0
-0.011892,0,0,0,0,-0.023783,1,1.6667e-07,0.0023152,0.00026789,0,-0,0.16718,0,0.82957,-0.021849,0
-0.01416,0,0,0,0,-0.02832,1,1.6667e-07,0.0023364,0.0002684,0,-0,0.16793,0,0.82349,-0.02255,0
-0.016433,0,0,0,0,-0.032865,1,1.6667e-07,0.0023575,0.00026884,0,-0,0.16867,0,0.81727,-0.023262,0
-0.01871,0,0,0,0,-0.03742,1,1.6667e-07,0.0023786,0.0002692,0,-0,0.1694,0,0.8109,-0.023986,0
-0.020993,0,0,0,0,-0.041985,1,1.6667e-07,0.0023997,0.00026948,0,-0,0.17013,0,0.80439,-0.024719,0
-0.023281,0,0,0,0,-0.046562,1,1.6667e-07,0.0024208,0.00026968,0,-0,0.17086,0,0.79774,-0.025463,0
-0.025576,0,0,0,0,-0.051152,1,1.6667e-07,0.0024419,0.00026981,0,-0,0.17159,0,0.79095,-0.026217,0
-0.027878,0,0,0,0,-0.055755,1,1.6667e-07,0.0024631,0.00026985,0,-0,0.17231,0,0.78402,-0.026979,0
-0.030187,0,0,0,0,-0.060374,1,1.6667e-07,0.0024842,0.00026981,0,-0,0.17303,0,0.77694,-0.027751,0
-0.032505,0,0,0,0,-0.06501,1,1.6667e-07,0.0025054,0.00026969,0,-0,0.17375,0,0.76973,-0.028531,0
-0.034832,0,0,0,0,-0.069664,1,1.6667e-07,0.0025267,0.00026949,0,-0,0.17447,0,0.76238,-0.029319,0
-0.037168,0,0,0,0,-0.074337,1,1.6667e-07,0.002548,0.0002692,0,-0,0.17519,0,0.75489,-0.030115,0
-0.039515,0,0,0,0,-0.07903,1,1.6667e-07,0.0025694,0.00026882,0,-0,0.17591,0,0.74726,-0.030916,0
-0.041873,0,0,0,0,-0.083746,1,1.6667e-07,0.002591,0.00026836,0,-0,0.17663,0,0.7395,-0.031725,0
-0.044243,0,0,0,0,-0.088486,1,1.6667e-07,0.0026126,0.0002678,0,-0,0.17735,0,0.7316,-0.032538,0
-0.046626,0,0,0,0,-0.093251,1,1.6667e-07,0.0026344,0.00026715,0,-0,0.17807,0,0.72358,-0.033356,0
-0.049021,0,0,0,0,-0.098043,1,1.6667e-07,0.0026563,0.0002664,0,-0,0.1788,0,0.71543,-0.034179,0
-0.051431,0,0,0,0,-0.10286,1,1.6667e-07,0.0026785,0.00026555,0,-0,0.17952,0,0.70715,-0.035004,0
