   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    0.257444    0.059585    0.242665    0.059212    0.000000    0.000000
    0.252469    0.059473    0.247543    0.059349    0.000000    0.000000
    0.247543    0.059349    0.252469    0.059473    0.000000    0.000000
    0.242665    0.059212    0.257444    0.059585    0.000000    0.000000
    0.237836    0.059063    0.262467    0.059684    0.000000    0.000000
    0.233056    0.058901    0.267539    0.059770    0.000000    0.000000
    0.228324    0.058727    0.272659    0.059844    0.000000    0.000000
    0.223640    0.058541    0.277828    0.059904    0.000000    0.000000
    0.219006    0.058343    0.283045    0.059952    0.000000    0.000000
    0.214419    0.058132    0.288311    0.059987    0.000000    0.000000
    0.209881    0.057910    0.293625    0.060008    0.000000    0.000000
    0.205392    0.057676    0.298988    0.060017    0.000000    0.000000
    0.200951    0.057430    0.304400    0.060013    0.000000    0.000000
    0.196559    0.057172    0.309859    0.059995    0.000000    0.000000
    0.192215    0.056903    0.315368    0.059964    0.000000    0.000000
    0.187920    0.056623    0.320925    0.059920    0.000000    0.000000
    0.183673    0.056331    0.326531    0.059862    0.000000    0.000000
    0.179475    0.056027    0.332185    0.059791    0.000000    0.000000
    0.175326    0.055713    0.337887    0.059707    0.000000    0.000000
    0.171225    0.055388    0.343639    0.059609    0.000000    0.000000
    0.167172    0.055051    0.349438    0.059498    0.000000    0.000000
    0.163168    0.054704    0.355286    0.059373    0.000000    0.000000
    0.159213    0.054346    0.361183    0.059235    0.000000    0.000000
    0.155306    0.053977    0.367129    0.059083    0.000000    0.000000
    0.151447    0.053598    0.373122    0.058917    0.000000    0.000000
    0.147638    0.053208    0.379165    0.058738    0.000000    0.000000
    0.143876    0.052808    0.385256    0.058546    0.000000    0.000000
    0.140164    0.052398    0.391395    0.058339    0.000000    0.000000
    0.136499    0.051978    0.397583    0.058119    0.000000    0.000000
    0.132884    0.051548    0.403820    0.057886    0.000000    0.000000
    0.129316    0.051108    0.410105    0.057638    0.000000    0.000000
    0.125798    0.050658    0.416438    0.057377    0.000000    0.000000
    0.122328    0.050199    0.422820    0.057103    0.000000    0.000000
    0.118906    0.049730    0.429251    0.056814    0.000000    0.000000
    0.115533    0.049252    0.435730    0.056512    0.000000    0.000000
    0.112208    0.048765    0.442258    0.056196    0.000000    0.000000
    0.108933    0.048268    0.448834    0.055867    0.000000    0.000000
    0.105705    0.047763    0.455459    0.055524    0.000000    0.000000
    0.102526    0.047249    0.462132    0.055167    0.000000    0.000000
    0.099396    0.046725    0.468854    0.054796    0.000000    0.000000
    0.096314    0.046194    0.475624    0.054412    0.000000    0.000000
    0.093281    0.045653    0.482443    0.054014    0.000000    0.000000
    0.090296    0.045105    0.489311    0.053602    0.000000    0.000000
    0.087360    0.044548    0.496227    0.053177    0.000000    0.000000
    0.084472    0.043983    0.503191    0.052738    0.000000    0.000000
    0.081633    0.043410    0.510204    0.052285    0.000000    0.000000
    0.078842    0.042829    0.517266    0.051819    0.000000    0.000000
    0.076100    0.042240    0.524376    0.051338    0.000000    0.000000
    0.073406    0.041644    0.531534    0.050845    0.000000    0.000000
    0.070761    0.041040    0.538742    0.050337    0.000000    0.000000
    0.068165    0.040429    0.545997    0.049816    0.000000    0.000000
    0.065617    0.039810    0.553301    0.049281    0.000000    0.000000
    0.063117    0.039184    0.560654    0.048733    0.000000    0.000000
    0.060666    0.038551    0.568056    0.048171    0.000000    0.000000
